OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
4930,Entertainment: Film,Easy,Multiple Choice,The 1996 film 'Fargo' is primarily set in which US state?,Minnesota,North Dakota,South Dakota,Wisconsin
4931,Science: Mathematics,Easy,Multiple Choice,Which of the following is not one of the seven Millennium Prize Problems?,Naviér conjecture,Birch and Swinnerton-Dyer Conjecture,Riemann hypothesis,Poincaré conjecture
4932,History,Hard,Multiple Choice,Toussaint Louverture led a successful slave revolt in which country?,Haiti,France,Cuba,United States
4933,Entertainment: Video Games,Medium,Multiple Choice,"In Pokemon Diamond, Pearl and Platinum, where can a Munchlax be found?",Honey Trees,Trading with an NPC,Grass on Route 209,Wayward Cave
4934,General Knowledge,Medium,Multiple Choice,Apple co-founder Steve Jobs died from complications of which form of cancer?,Pancreatic,Bone,Liver,Stomach
4935,Entertainment: Video Games,Hard,Multiple Choice,"In the SHMUP series, ""Gradius"", what is the name of the antagonist faction you fight against?",Bacterion,Bydo,Belsar,ORN Empire
4936,Vehicles,Easy,Multiple Choice,The LS7 engine is how many cubic inches?,427,346,364,376
4937,Entertainment: Video Games,Medium,Multiple Choice,Who was the main antagonist of Max Payne 3 (2012)?,Victor Branco,Álvaro Neves,Armando Becker,Milo Rego
4938,Sports,Medium,Multiple Choice,What is the oldest team in Major League Baseball?,Atlanta Braves,Chicago Cubs,Cincinnati Reds,St. Louis Cardinals
4939,Entertainment: Video Games,Easy,Multiple Choice,"Which game did ""Sonic The Hedgehog"" make his first appearance in?",Rad Mobile,Sonic The Hedgehog,Super Mario 64,Mega Man
4940,Entertainment: Books,Easy,True / False,"""Elementary, my dear Watson"" is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",True,False,,
4941,Entertainment: Video Games,Easy,Multiple Choice,"In the PAYDAY series, who betrayed the PAYDAY gang that got Hoxton arrested?",Hector,Vlad,The Dentist,The Elephant
4942,History,Easy,True / False,Vikings were the first Europeans to discover North America.,True,False,,
4943,Entertainment: Cartoon & Animations,Easy,Multiple Choice,What was the first Disney movie to use CGI?,The Black Cauldron,Tron,Toy Story,Fantasia
4944,Entertainment: Books,Medium,Multiple Choice,Which American author was also a budding travel writer and wrote of his adventures with his dog Charley?,John Steinbeck,F. Scott Fitzgerald,Ernest Hemingway,William Faulkner
4945,History,Hard,Multiple Choice,"When was the ""Siege of Leningrad"" lifted during World War II?",January 1944,September 1943,November 1943,March 1944
4946,Entertainment: Music,Medium,Multiple Choice,"Which rock band released the album ""The Bends"" in March 1995?",Radiohead,Nirvana,Coldplay,U2
4947,General Knowledge,Medium,Multiple Choice,All Souls and Merton are constituent colleges of what university?,Oxford,Cambridge,Manchester,Leeds
4948,Geography,Medium,Multiple Choice,What continent is the country Lesotho in?,Africa,Asia,South America,Europe
4949,Entertainment: Comics,Easy,True / False,"The ""Pepe"" meme originated from a comic drawn by Matt Furie called ""Boy's Club""?",True,False,,
4950,Entertainment: Music,Easy,True / False,Daft Punk originated in France.,True,False,,
4951,Science & Nature,Medium,Multiple Choice,A positron is an antiparticle of a what?,Electron,Neutron,Proton,Photon
4952,Entertainment: Video Games,Medium,Multiple Choice,"In the game ""Cave Story,"" what is the character Balrog's catchphrase?",Huzzah!,Yes!,Whoa there!,Nyeh heh heh!
4953,Entertainment: Music,Medium,Multiple Choice,"Which country does the electronic music duo ""The Knife"" originate from?",Sweden,Finland,Denmark,Norway
4954,Entertainment: Video Games,Medium,True / False,"In the video game ""Blue Reflection"", the main protagonist, Hinako Shirai, was a ballet dancer.",True,False,,
4955,Science & Nature,Medium,Multiple Choice,What is the chemical symbol for lead?,Pb,Ld,Le,Pm
4956,Entertainment: Books,Medium,Multiple Choice,"What is the name of the gang that Ponyboy is a part of in the book, The Outsiders?",The Greasers,The Outsiders,The Mafia,The Socs
4957,History,Hard,Multiple Choice,"Before the American colonies switched to the Gregorian calendar in 1752, on what date did their new year start?",March 25th,June 1st,September 25th,December 1st
4958,Entertainment: Video Games,Hard,Multiple Choice,"According to Toby Fox, what was the method to creating the initial tune for Megalovania?",Singing into a Microphone,Playing a Piano,Using a Composer Software,Listened to birds at the park
4959,Entertainment: Musicals & Theatres,Easy,Multiple Choice,"In Shakespeare's play Julius Caesar, Caesar's last words were...","Et tu, Brute? ",Iacta alea est!,"Vidi, vini, vici.",Aegri somnia vana.
4960,General Knowledge,Easy,Multiple Choice,Which of the three astronauts of the Apollo 11 spaceflight did NOT walk on the moon?,Michael Collins,Buzz Aldrin,Neil Armstrong,None of them
4961,History,Easy,Multiple Choice,On what street did the 1666 Great Fire of London start?,Pudding Lane,Baker Street,Houses of Parliament,St Paul's Cathedral
4962,History,Medium,Multiple Choice,What was the name of the African-American cultural explosion centered in upper Manhattan during the 1920s and 1930s?,Harlem Renaissance,Inwood Renaissance,Bed-Stuy Renaissance,Upper East Renaissance
4963,General Knowledge,Easy,Multiple Choice,"What was the name of Sqiudward's bad painting in the Spongebob episode ""Artist Unknown?""",Bold and Brash,Squidward en Repose,Rippy Bits,Tilted Perspectives
4964,Animals,Medium,Multiple Choice,What is the national bird of Bahrain?,Bulbul,Hummingbird,Falcon,Sparrow
4965,Geography,Medium,Multiple Choice,Broome is a town in which state of Australia?,Western Australia,Northern Territory,South Australia,Tasmania
4966,Entertainment: Video Games,Medium,Multiple Choice,"What is the name of the prison in ""Half Life 2""?",Nova Prospekt,Great Prospekt,New Prospect,Lesser Prospekt
4967,Geography,Medium,True / False,Tasmania is an island state of Australia.,True,False,,
4968,Entertainment: Video Games,Easy,Multiple Choice,"What company created and developed the game ""Overwatch""?",Blizzard Entertainment,Valve,Hi-Rez Studios,Gearbox Software
4969,Entertainment: Music,Medium,Multiple Choice,"When did Radiohead release their album ""OK Computer""?",1997,1995,2000,1993
4970,History,Easy,True / False,The majority of people that lived under the Byzantine Empire called themselves Romans.,True,False,,
4971,History,Medium,Multiple Choice,What was the name of the first permanent English settlement in America?,Jamestown,New York,St. John's,Plymouth
4972,Vehicles,Medium,True / False,The majority of Subaru vehicles are made in China.,False,True,,
4973,General Knowledge,Hard,Multiple Choice,"""Nephelococcygia"" is the practice of doing what? ",Finding shapes in clouds,Sleeping with your eyes open,Breaking glass with your voice,Swimming in freezing water
4974,Mythology,Medium,Multiple Choice,Who was the Roman god of fire?,Vulcan,Apollo,Jupiter,Mercury
4975,Entertainment: Video Games,Easy,True / False,"""Resident Evil 7"" is the first first-person Resident Evil game.",False,True,,
4976,Mythology,Medium,Multiple Choice,Neptune's greek name was...,Poseidon,Ares,Zeus,Apollo
4977,Entertainment: Music,Hard,Multiple Choice,Which album was released by Kanye West in 2013?,Yeezus,My Beautiful Dark Twisted Fantasy,The Life of Pablo,Watch the Throne
4978,Entertainment: Video Games,Hard,Multiple Choice,"In Halo 2, how many rounds does the M6C hold in a single magazine?",12,6,36,18
4979,Entertainment: Music,Easy,Multiple Choice,"The 2016 song ""Starboy"" by Canadian singer The Weeknd features which prominent electronic artist?",Daft Punk,deadmau5,Disclosure,DJ Shadow
4980,Entertainment: Video Games,Easy,Multiple Choice,Gordon Freeman is said to have burnt and destroyed what food in the break room microwave?,Casserole,Sub Sandwich,Chicken Soup,Pepperoni Pizza
4981,Entertainment: Video Games,Easy,Multiple Choice,"In the first game of the Sly Cooper franchise, what family heirloom did Sly Cooper want to steal back?",Thievius Raccoonus,Raccoon Training 101,The Art of Sneak,Raccoonus Teachus
4982,Entertainment: Video Games,Medium,Multiple Choice,"What is not a playable race in ""Final Fantasy XIV: A Realm Reborn""?",Hume,Miqo'te,Lalafell,Roegadyn
4983,History,Medium,Multiple Choice,Which historical conflict killed the most people?,World War II,Taiping Rebellion,Three Kingdoms War,Mongol conquests
4984,Science: Gadgets,Medium,Multiple Choice,What are the base station trackers used for the HTC Vive called?,Lighthouse,Motion,Constellation ,Trackers
4985,Art,Medium,Multiple Choice,Which one of these colors are not featured in Mondrian's Broadway Boogie-Woogie?,Green,Blue,Yellow,Red
4986,Science & Nature,Hard,Multiple Choice,Folic acid is the synthetic form of which vitamin?,Vitamin B,Vitamin A,Vitamin C,Vitamin D
4987,Entertainment: Video Games,Hard,Multiple Choice,"Which artist composed the original soundtrack for ""Watch Dogs 2""?",Hudson Mohawke,Rustie,Machinedrum,Flying Lotus
4988,Entertainment: Books,Easy,Multiple Choice,Which of the following is the world's best-selling book?,The Lord of the Rings,The Little Prince,Harry Potter and the Philosopher's Stone,The Da Vinci Code
4989,Entertainment: Video Games,Easy,Multiple Choice,What is the title of song on the main menu in Halo?,Halo,Opening Suite,Shadows,Suite Autumn
4990,Entertainment: Video Games,Easy,Multiple Choice,"What is the name of ""Team Fortress 2"" update, in which it became Free-to-play?",Über Update,Pyromania Update,Mann-Conomy Update,Engineer Update
4991,Science: Mathematics,Hard,Multiple Choice,How many zeptometres are inside one femtometre?,"1,000,000",10,"1,000,000,000",1000
4992,Science: Mathematics,Hard,Multiple Choice,The decimal number 31 in hexadecimal would be what?,1F,3D,2E,1B
4993,History,Hard,Multiple Choice,Who was the first man to travel into outer space twice?,Gus Grissom,Vladimir Komarov,Charles Conrad,Yuri Gagarin
4994,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"In the ""Dragon Ball"" franchise, what is the name of Goku's brother?",Raditz,Gohan,Vegeta,Bardock
4995,Celebrities,Medium,Multiple Choice,In which situation was musician John Lennon assassinated?,Attempting to enter the Dakota Apartments building,During an impromptu walk through Central Park,Signing an autograph outside the Record Plant studio,Waiting outside a music venue in Manhattan following a gig
4996,Sports,Medium,Multiple Choice,Who is regarded as the best Romanian footballer of all time?,Gheorghe Hagi,Cristian Chivu,Nicolae Dobrin,Gheorghe Popescu
4997,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,Which studio made Cowboy Bebop?,Sunrise,Bones,Madhouse,Pierriot
4998,General Knowledge,Easy,Multiple Choice,In which fast food chain can you order a Jamocha Shake?,Arby's,McDonald's,Burger King,Wendy's
4999,Entertainment: Video Games,Easy,Multiple Choice,What Nationality is D.Va from Overwatch?,Korean,Japanese,Chinese,Vietnamese 
5000,Entertainment: Video Games,Medium,True / False,"In career mode of ""Need for Speed: Underground 2"", the first car the player can drive is the BMW M3 GTR.",False,True,,
5001,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"What is the name of the main character of the anime ""One-Punch Man""?",Saitama,Genos,Sonic,King
5002,Entertainment: Video Games,Medium,Multiple Choice,Which of these games was the earliest known first-person shooter with a known time of publication?,Spasim,Doom,Wolfenstein,Quake
5003,General Knowledge,Medium,Multiple Choice,Which is the most popular spoken language in the Southern Hemisphere?,Portuguese,English ,Spanish,French
5004,Science: Gadgets,Hard,True / False,During the  early parts of the Vietnam War the M16 had a record for having bad reliability,True,False,,
5005,General Knowledge,Medium,Multiple Choice,"In a 1994 CBS interview, Microsoft co-founder Bill Gates performed what unusual trick on camera?",Jumping over an office chair,Jumping backwards over a desk,Standing on his head,Typing on a keyboard during a handstand
5006,Entertainment: Board Games,Hard,Multiple Choice,What do you declare in Rīchi Mahjong when you've drawn your winning tile?,Tsumo,Ron,Rīchi,Kan
5007,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"In Dragon Ball Z, who was the first character to go Super Saiyan 2?",Gohan,Goku,Vegeta,Trunks
5008,Entertainment: Music,Easy,Multiple Choice,"The ""British Invasion"" was a cultural phenomenon in music where British boy bands became popular in the USA in what decade?",60's,50's,40's,30's
5009,Entertainment: Film,Medium,Multiple Choice,"Who is the director of the 1991 film ""Silence of the Lambs""?",Jonathan Demme,Stanley Kubrick,Frank Darabont,Michael Bay
5010,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,What is the name of the stuffed lion in Bleach?,Kon,Jo,Urdiu,Chad
5011,General Knowledge,Easy,True / False,Is a dog a mammal?,True,False,,
5012,Entertainment: Video Games,Medium,Multiple Choice,"Which of these symbols can be seen on the shirt of the 1993 video game character, Bubsy T. Bobcat?",An exclamation point,A question mark,The letter B,Nothing
5013,Entertainment: Video Games,Easy,True / False,"""Half-Life 2"" runs on the Source Engine.",True,False,,
5014,Entertainment: Video Games,Medium,Multiple Choice,"What animal is featured in ""Bloons TD Battles""?",Monkeys,Alligators,Pigeons,Lizards
5015,Geography,Medium,Multiple Choice,Which is the world's longest river?,Nile,Missouri,Amazon,Yangtze
5016,Science & Nature,Medium,Multiple Choice,After which Danish city is the 72th element on the periodic table named?,Copenhagen,Odense,Herning,Skagen
5017,Sports,Easy,Multiple Choice,What national team won the first UEFA Nations League?,Portugal,Netherlands,England,Switzerland
5018,Entertainment: Video Games,Hard,Multiple Choice,"According to the lore of ""Starbound"", what does the ""Colony Deed"" do when it is placed down?",Sends out an advertisement for someone to move in.,Teleports somebody from somewhere on the planet it is placed.,Teleports a random person to the location.,Materializes a new being at it's location.
5019,General Knowledge,Easy,Multiple Choice,What is the full meaning of RAM?,Random Access Memory,Random Assist Memory,Rand Assist Mandate,Ram
5020,Entertainment: Television,Easy,Multiple Choice,"Which show is known for the songs ""You are a Pirate"", ""Cooking by the Book"" and ""We Are Number One""?",LazyTown,Sofia the First,DuckTales,Tom and Jerry
5021,Entertainment: Video Games,Easy,Multiple Choice,What was the original name of Crash Bandicoot?,Willie Wombat,Coco Bandicoot,Marvelous Mole,Wally Wombat
5022,Entertainment: Video Games,Hard,Multiple Choice,What programming language does the Source Engine use?,C++ ,Python,Java,Lua
5023,Entertainment: Music,Medium,Multiple Choice,"Which album by American rapper Kanye West contained songs such as ""Love Lockdown"", ""Paranoid"" and ""Heartless""?",808s & Heartbreak,Late Registration,The Life of Pablo,Graduation
5024,Politics,Medium,Multiple Choice,"What country saw a world record 315 million voters turn out for elections on May 20, 1991?",India,United States of America,Soviet Union,Poland
5025,Science: Computers,Medium,Multiple Choice,The teapot often seen in many 3D modeling applications is called what?,Utah Teapot,Pixar Teapot,3D Teapot,Tennessee Teapot
5026,Entertainment: Board Games,Hard,Multiple Choice,"Some of the ""Fallen Empires"" cards from ""Magic: The Gathering"" were misprinted on the backs of which other card game?",Wyvern,Pokemon,Dominion,Yu-Gi-Oh
5027,Entertainment: Video Games,Medium,Multiple Choice,"When was ""Garry's Mod"" released?","December 24, 2004","November 13, 2004","December 13, 2004","November 12, 2004"
5028,General Knowledge,Medium,Multiple Choice,Which month is Black History Month in the US?,February,May,November,August
5029,Entertainment: Music,Hard,Multiple Choice,"Who was not in the band ""The Smiths""?",Martin Chambers,Morrissey,Andy Rourke,Mike Joyce
5030,Entertainment: Video Games,Hard,Multiple Choice,Which game in the Dance Dance Revolution series introduced the Extra Stage?,DDR,DDR Solo 2000,DDRMAX,DDR EXTREME
5031,Science & Nature,Medium,Multiple Choice,Which of the following spacecraft never touched the moon?,Mariner 4,Apollo 11,Luna 2,SMART-1
5032,Entertainment: Cartoon & Animations,Easy,Multiple Choice,Who voices for Ruby in the animated series RWBY?,Lindsay Jones,Tara Strong,Jessica Nigri,Hayden Panettiere
5033,Entertainment: Video Games,Easy,Multiple Choice,What is the name of Team Fortress 2's Heavy Weapons Guy's minigun?,Sasha,Betty,Anna,Diana
5034,Entertainment: Video Games,Hard,Multiple Choice,When was Steam first released?,2003,2004,2011,2007
5035,General Knowledge,Medium,Multiple Choice,What is the highest number of Michelin stars a restaurant can receive?,Three,Four,Five,Six
5036,Politics,Easy,True / False,"In 2016, the United Kingdom voted to stay in the EU.",False,True,,
5037,Entertainment: Video Games,Hard,Multiple Choice,"Counting the Blood and Wine DLC, how many Hero Cards are there in total in The Witcher 3?",25,30,20,15
5038,General Knowledge,Medium,Multiple Choice,Whose greyscale face is on the kappa emoticon on Twitch?,Josh DeSeno,Justin DeSeno,John DeSeno,Jimmy DeSeno
5039,General Knowledge,Easy,Multiple Choice,What is the largest organ of the human body?,Skin,Heart,large Intestine,Liver
5040,Entertainment: Comics,Medium,Multiple Choice,What is the designation given to the Marvel Cinematic Universe?,Earth-199999,Earth-616,Earth-10005,Earth-2008
5041,General Knowledge,Easy,Multiple Choice,The Quran is the holy book of which Abrahamic religion?,Islam,Christianity,Judaism,Rastafarianism
5042,Entertainment: Video Games,Easy,Multiple Choice,Who in this list is one of the co-founders of Valve?,Gabe Newell,Robin Walker,Marc Laidlaw,Ray Ueno
5043,General Knowledge,Medium,Multiple Choice,"According to the BBPA, what is the most common pub name in the UK?",Red Lion,Royal Oak,White Hart,King's Head
5044,Science & Nature,Easy,Multiple Choice,Who is the chemical element Curium named after?,Marie & Pierre Curie,The Curiosity Rover,Curious George,Stephen Curry
5045,Entertainment: Music,Medium,Multiple Choice,In what year was Taylor Swift born?,1989,1988,1987,1990
5046,Entertainment: Film,Easy,Multiple Choice,What was the first James Bond film?,Dr. No,Goldfinger,From Russia With Love,Thunderball
5047,History,Easy,Multiple Choice,Which modern day country is the region that was known as Phrygia in ancient times?,Turkey,Syria,Greece,Egypt
5048,Science: Computers,Hard,Multiple Choice,"Released in 2001, the first edition of Apple's Mac OS X operating system (version 10.0) was given what animal code name?",Cheetah,Puma,Tiger,Leopard
5049,General Knowledge,Medium,Multiple Choice,In what year was McDonald's founded?,1955,1964,1951,1947
5050,Entertainment: Video Games,Medium,Multiple Choice,"In the Half-Life franchise, what is the real name of the ""gravity gun""?",Zero-Point Energy Field Manipulator,Universal Gravity Manipulation Device,Isaac Newton's Theory Disprover,Quantum Energy Displacement Modifier
5051,Entertainment: Video Games,Hard,Multiple Choice,"In ""Need for Speed III: Hot Pursuit"", what is the name of the fictional car?",El Niño,Rápido,Ágil,La Niña
5052,General Knowledge,Medium,Multiple Choice,Which of the General Mills Corporation's monster cereals was the last to be released in the 1970's?,Fruit Brute,Count Chocula,Franken Berry,Boo-Berry
5053,Entertainment: Video Games,Medium,Multiple Choice,"Which of the following Copy Abilities was only featured in ""Kirby & The Amazing Mirror""?",Mini,Magic,Smash,Missile
5054,General Knowledge,Easy,Multiple Choice,The buried remains of which English explorer of Australia were found in London  in January 2019? ,Matthew Flinders,William Bourke,Abel Tasman,Dirk Hartog
5055,Entertainment: Film,Easy,Multiple Choice,"This movie contains the quote, ""Houston, we have a problem.""",Apollo 13,The Right Stuff,Capricorn One,Marooned
5056,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"What year did ""Bishoujo Senshi Sailor Moon"" air in Japan?",1992,1989,1990,1994
5057,Politics,Hard,True / False,Joko Widodo has appeared in the cover of a TIME magazine.,True,False,,
5058,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,The name of Junko Enoshima's imposter at the beginning of Danganronpa: Trigger Happy Havoc is?,Mukuro Ikusaba,Ryota Mitarai,Ultimate Imposter,Komaru Naegi
5059,Entertainment: Music,Easy,Multiple Choice,Who was the most streamed artist on Spotify in 2019?,Post Malone,Billie Eilish,Ariana Grande,Drake
5060,Entertainment: Comics,Medium,Multiple Choice,What is Homestuck character Gamzee's last name?,Makara,Makera,Makare,Makrea
5061,Sports,Easy,Multiple Choice,When was the FC Schalke 04 founded?,1904,1909,2008,1999
5062,General Knowledge,Medium,Multiple Choice,"What is the Portuguese word for ""Brazil""?",Brasil,Brazil,Brasilia,Brasíl
5063,Entertainment: Music,Medium,True / False,The country song  “A Boy Named Sue” was written by Shel Silverstein.,True,False,,
5064,Geography,Easy,Multiple Choice,Which of the following Arab countries does NOT have a flag containing only Pan-Arab colours?,Qatar,Kuwait,United Arab Emirates,Jordan
5065,Geography,Hard,Multiple Choice,What year is on the flag of the US state Wisconsin?,1848,1634,1783,1901
5066,Sports,Easy,True / False,"In Rugby League, performing a ""40-20"" is punished by a free kick for the opposing team.",False,True,,
5067,Entertainment: Video Games,Easy,True / False,Super Mario Bros. was the first video game ever created.,False,True,,
5068,Science: Computers,Hard,Multiple Choice,Which of these names was an actual codename for a cancelled Microsoft project?,Neptune,Enceladus,Pollux,Saturn
5069,Entertainment: Cartoon & Animations,Medium,Multiple Choice,"In the animated series RWBY, what is the name of the weapon used by Weiss Schnee?",Myrtenaster,Gambol Shroud,Crescent Rose,Ember Celica
5070,Animals,Medium,Multiple Choice,What color/colour is a polar bear's skin?,Black,White,Pink,Green
5071,Entertainment: Video Games,Medium,Multiple Choice,What is the canonical name of the Persona 4 protagonist?,Yu Narukami,Minato Arisato,Soji Seta,Nagito Komaeda
5072,Entertainment: Video Games,Hard,Multiple Choice,"What was the first game to utilize Valve's ""Source 2"" engine?",Dota 2,Counter-Strike: Global Offensive,"Pirates, Vikings & Knights II",Artifact
5073,Entertainment: Video Games,Easy,Multiple Choice,"In the video game Overwatch, which playable character is infamous for saying ""It's high noon.""?",McCree,Hanzo,Pharah,Soldier: 76
5074,Politics,Medium,Multiple Choice,Which of these is NOT one of Donald Trump's children?,Julius,Donald Jr.,Ivanka,Eric
5075,Geography,Medium,Multiple Choice,Which state of the United States is the smallest?,Rhode Island ,Maine,Vermont,Massachusetts
5076,Entertainment: Music,Easy,Multiple Choice,Ozzy Osbourne was the lead singer for what metal band?,Black Sabbath,AC/DC,Iron Maiden,Judas Priest
5077,Entertainment: Music,Medium,Multiple Choice,The 'In the Flesh' tour was used in support of what Pink Floyd album?,Animals,The Wall,Wish You Were Here,The Final Cut
5078,Politics,Medium,True / False,"The State of Queensland, Australia voted NO to a referendum for daylight savings in 1992.",True,False,,
5079,Celebrities,Medium,Multiple Choice,"Which TV chef wrote an autobiography titled ""Humble Pie""?",Gordon Ramsay,Jamie Oliver,Ainsley Harriott,Antony Worrall Thompson
5080,General Knowledge,Easy,Multiple Choice,Which of the following presidents is not on Mount Rushmore?,John F. Kennedy,Theodore Roosevelt,Abraham Lincoln,Thomas Jefferson
5081,Entertainment: Music,Easy,True / False,"The 2011 movie ""The Adventures of Tintin"" was directed by Steven Spielberg.",True,False,,
5082,Entertainment: Comics,Hard,Multiple Choice,What is the real hair colour of the mainstream comic book version (Earth-616) of Daredevil?,Blonde,Auburn,Brown,Black
5083,Entertainment: Video Games,Medium,Multiple Choice,"In ""Kingdom Hearts"", who abducts Jasmine in the Lamp Chamber?",Riku,Riku Replica,Xaldin,Captain Hook
5084,General Knowledge,Medium,True / False,The sum of all the numbers on a roulette wheel is 666.,True,False,,
5085,Entertainment: Video Games,Medium,Multiple Choice,What character is NOT apart of the Grand Theft Auto series?,Michael Cardenas,Packie McReary,Tommy Vercetti,Lester Crest
5086,General Knowledge,Easy,Multiple Choice,When was Pong released?,"November 29, 1972","March 29, 2017","November 29, 1970","December 14, 1974"
5087,Entertainment: Music,Hard,Multiple Choice,"Panic! At the Disco's sixth album ""Pray For The Wicked"" was released on which date?","June 22, 2018","May 9, 2018","March 13, 2018","February 21, 2018"
5088,Entertainment: Video Games,Easy,Multiple Choice,Which of these is NOT a Humongous Entertainment game franchise?,Commander Keen,Pajama Sam,Putt-Putt,Freddi Fish
5089,Entertainment: Books,Easy,True / False,The book 1984 was published in 1949.,True,False,,
5090,Entertainment: Video Games,Medium,Multiple Choice,"In the 1980s, a service called Gameline allowed users to download games to what console?",Atari 2600,Sega Genesis,Nintendo Entertainment System,ColecoVision
5091,Entertainment: Music,Easy,Multiple Choice,"Finish these lyrics from the 2016 song ""Panda"" by Desiigner: ""I got broads in _______"".",Atlanta,Savannah,Augusta,Marietta
5092,Entertainment: Video Games,Medium,Multiple Choice,"In Hitman: Blood Money, what is the name of the target in the mission ""Death of a Showman""?",Joseph Clarence,The Swing King,Maynard John,Manuel Delgado
5093,Entertainment: Musicals & Theatres,Hard,Multiple Choice,"Which Shakespeare play features the stage direction ""Enter a messenger, with two heads and a hand""?",Titus Andronicus,Othello,Macbeth,King Lear
5094,Sports,Easy,Multiple Choice,What was the final score of the Germany vs. Brazil 2014 FIFA World Cup match?,7 - 1,0 - 1,3 - 4,16 - 0
5095,History,Hard,Multiple Choice,In 1547 who became the 1st Tsar of Russia,Ivan the Terrible,Alexis of Russia,Mikhail Romanov,Peter the Great
5096,General Knowledge,Easy,Multiple Choice,Which of these is NOT considered to be a colour that makes up the rainbow?,Pink,Blue,Violet,Orange
5097,Entertainment: Video Games,Medium,Multiple Choice,"Who is the main character of the game series ""Ace Attorney"" ?",Phoenix Wright,Winston Payne,Dahlia Hawthorne ,Ash Ketchum
5098,Science & Nature,Hard,Multiple Choice,Which of these is a semiconductor amplifying device?,transistor,tube,diode,P-N junction
5099,Entertainment: Cartoon & Animations,Medium,Multiple Choice,"What was the number on Gerald's shirt in ""Hey Arnold!""?",33,88,38,83
5100,Entertainment: Television,Medium,Multiple Choice,"What episode of ""Mr. Bean"" saw him trying to prevent people from seeing him naked?",Mr. Bean in Room 426,Mr. Bean Goes to Town,The Trouble with Mr. Bean,Back to School Mr. Bean
5101,Entertainment: Television,Easy,Multiple Choice,What country is Cory in the House set in?,The United States of America,Canada,Venezuala,England
5102,History,Easy,Multiple Choice,Who was the first ruler of Haiti after the country had gained its independence?,Jean-Jacques Dessalines,Toussaint Louverture,Henri Christophe,Alexandre Petion
5103,Geography,Hard,Multiple Choice,What is Canada's largest island?,Baffin Island,Prince Edward Island,Vancouver Island,Newfoundland
5104,Entertainment: Video Games,Easy,Multiple Choice,"In Spyro the Dragon, what is Spyro's dragonfly friend called?",Sparx,Sam,Sparky,Spinkles
5105,Entertainment: Music,Easy,True / False,"Korean girl group, TWICE, consists of 9 members",True,False,,
5106,Geography,Easy,True / False,South Africa has more than one capital city,True,False,,
5107,Sports,Easy,Multiple Choice,Which year did Jenson Button won his first ever Formula One World Drivers' Championship?,2009,2010,2007,2006
5108,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"In ""Love Live: School Idol Project"" what pseudonym does Kotori Minami use in her job as a maid?",Minalinsky,Stanoytchev,Kuznetsov,Aqours
5109,General Knowledge,Easy,Multiple Choice,"According to the nursery rhyme, what fruit did Little Jack Horner pull out of his Christmas pie?",Plum,Apple,Peach,Pear
5110,Entertainment: Film,Easy,Multiple Choice,Who plays the character of Po in the Kung Fu Panda movies?,Jack Black,Mirana Jonnes,McConahey Ramses,Jim Petersson
5111,Science: Computers,Medium,Multiple Choice,Moore's law originally stated that the number of transistors on a microprocessor chip would double every...,Year,Four Years,Two Years,Eight Years
5112,Geography,Easy,Multiple Choice,Greenland is a part of which kingdom?,Denmark,Sweden,Norway,United Kingdom
5113,General Knowledge,Hard,Multiple Choice,What is the airspeed velocity of an unladen swallow?,24 MPH,15 MPH,20 MPH,200 MPH
5114,Science: Computers,Hard,Multiple Choice,Which of the following is the oldest of these computers by release date?,TRS-80,Commodore 64,ZX Spectrum,Apple 3
5115,Geography,Easy,Multiple Choice,What is the capital of the American state of Arizona?,Phoenix,Montgomery,Tallahassee,Raleigh
5116,Entertainment: Film,Easy,True / False,Actor Tommy Chong served prison time.,True,False,,
5117,General Knowledge,Easy,Multiple Choice,What do sailors call the front of a boat?,Bow,Stern,Port,Starboard
5118,General Knowledge,Medium,Multiple Choice,Death Valley's Badwater Basin is North America's point of lowest elevation at how many feet below sea level?,282 feet,79 feet,"1,640 feet","12,092 feet"
5119,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,What year did the popular Vocaloid: Hatsune Miku come out?,2007,2000,2008,2010
5120,Entertainment: Board Games,Hard,Multiple Choice,"What was the development code name for the ""Weatherlight"" expansion for ""Magic: The Gathering"", released in 1997?",Mocha Latte,Decaf,Frappuccino,Macchiato
5121,Science: Computers,Hard,Multiple Choice,What vulnerability ranked #1 on the OWASP Top 10 in 2013?,Injection ,Broken Authentication,Cross-Site Scripting,Insecure Direct Object References
5122,Animals,Hard,Multiple Choice,How many known living species of hyenas are there?,4,8,2,6
5123,Science & Nature,Easy,Multiple Choice,What is the standard SI unit for time?,Second,Minute,Hour,Day
